År,Komponist,Verk,Dirigent,Sted,Mer Info
1993-12,Diverse,SA ønskekonsert,"Wagner, B.",Stavanger Konserthus,https://drive.google.com/open?id=1i469pqKdEtr2bHhf3TXBXjTEGLV5wEqb
1993-10,Theodorakis,Gresk musikk,"Rasmussen, Ragnar",Sola Kulturhus,https://drive.google.com/open?id=1O63TJgsq5WYNr7J0j3ENLrfG9vXLVEXY
1993-12,Händel,Messias,"Merz, Florian",Stavanger Domkirke,https://drive.google.com/open?id=11KU0Fo3sgilfKMTZEw_cBhpdyujBi8Rp
1993-08,Debussy,Nocturne,"Dmitriev, Alexander",Stavanger Konserthus,https://drive.google.com/open?id=1ty57FTWwZmXP731q1dzqXHKDRUE4zn0a
1993-03,Grieg,Peer Gynt (konsertver.),"Ruud, Ole Kristian",Stavanger Konserthus,https://drive.google.com/open?id=1DdzY2gGQrVuNKlXnoCvfVX3LBpRXx5cm
1993-03,Grieg,Olav Tryggvason (utdrag),"Sköld, Stefan",Stavanger Konserthus,https://drive.google.com/open?id=1u93aeUL0uPTPY9m7S-CJvUwnjcaiTBry
1992-12,"Bach, J. S.",Juleoratoriet 1-3,"Vis, Lucas",Stavanger Domkirke,https://drive.google.com/open?id=18dRwJMZVr7XtcelJoN1A1jkTanLGBi_R
1992-11,Diverse,SA ønskekonsert,"Wagner, B.",Stavanger Konserthus,https://drive.google.com/open?id=1KS9MAAwdIU9QqjAz2R9G3LFiY0F524Gt
1992-10,Orff,Carmina Burana,"Dmitriev, Alexander",Stavanger Konserthus,https://drive.google.com/open?id=1ZPFLLB3D8velg9Czw4Sno3DB4MmXiPnt
1992-04,Verdi,Requiem,"Dmitriev, Alexander",Stavanger Konserthus,https://drive.google.com/open?id=1Boo6pufJ8CHoqEwLo84QddIKvfoHthAz
1991-12,Mozart,Messe i c-moll,"Sköld, Stefan",Stavanger Konserthus,https://drive.google.com/open?id=1vmPvmaKQNnrkXV8BjVnFxk17VkZUB5Ol
1991-09,Brahms,Schicksalslied,"Dmitriev, Alexander",Stavanger Konserthus,https://drive.google.com/open?id=1BAPN4MYQ_0kto12N_v7-GNlXmfZs3zb6
1991-06,Grieg,Våren,"Dmitriev, Alexander",Stavanger Konserthus,
1991-04,Rossini,Stabat Mater,"Rasilainen, Ari",Stavanger Konserthus,
1991-02,Asheim,Kantate for Mikkel Rev,"Cejka, Petr",Stavanger Domkirke,
1990-11,Asheim,Kantate for Mikkel Rev,"Andersen, Karsten",Stavanger Konserthus,
1990-04,Mozart,Requiem,"Zaliouk, Yuval",St. Petri kirke,
1989-12,Händel,Messias,"Kvam, Terje",Stavanger Domkirke,
1989-11,Diverse,Operakonsert,"Oskamp, Gerard",Stavanger Konserthus,
1989-05,Grieg,Olav Tryggvason,"Cejka, Petr",Stavanger Konserthus,
1989-03,"Bach, J. S.",Matteuspasjonen,"Oskamp, Gerard",Stavanger Domkirke,
1989-01,"Bach, J. S.",Juleoratoriet 4-6,"Hacker, Alan",Stavanger Konserthus,
1988-12,Vivaldi,Gloria,"Andersen, Karsten",Stavanger Domkirke,
1988-09,Debussy,Nocturne,"Wold, Bjørn",Stavanger Konserthus,
1988-09,Borodin,Fyrst Igor: Polovetsiske danser,"Oskamp, Gerard",Stavanger Konserthus,
1988-07,"Blackford, R.",Magnificat,"Blackford, Richard",York,
1988-07,Asheim,Kantate for Mikkel Rev + a capella program,"Cejka, Petr",York,
1988-04,Poulenc,Gloria,"Oskamp, Gerard",Stavanger Konserthus,
1988-01,Beethoven,Symfoni nr. 9,"Oskamp, Gerard",Stavanger Konserthus,
1987-12,"Bach, J. S.",Juleoratoriet 1-4,"Oskamp, Gerard",Stavanger Konserthus,
1987-11,Prokofieff,Alexander Nevsky,"Shapirra, Elyakum",Stavanger Konserthus,
1987-10,Brahms,Altrapsoby for mannskor,"Oskamp, Gerard",St. Petri kirke,
1987-03,Brahms,Ein Deutsches Requiem,"Bricetti, Thomas",Stavanger Konserthus,
1986-12,Mozart,Messe i c-moll,"Bricetti, Thomas",Stavanger Konserthus,
1986-10,Liszt,En Faust symfoni,"Oskamp, Gerard",Stavanger Konserthus,
1986-05,Dvorak,Stabat Mater,"Cejka, Petr",Kristiansand,
1986-03,Verdi,Requiem,"Shipway, Frank",Stavanger Konserthus,https://drive.google.com/open?id=1FrJEkAcr7h78vwZWifKHliuPzLs5tqTo
1985-12,"Bach, J. S.",Juleoratoriet 1-3,"Oskamp, Gerard",Stavanger Konserthus,
1985-05,Dvorak,Stabat Mater,"Cejka, Petr","Frankrike, Caen",
1985-04,"Bach, J. S.",Johannespasjonen,"Shipway, Frank",Stavanger Konserthus,
1985-01,Stravinsky,Salmesymfoni,"Vänskä, Osmo",Stavanger Konserthus,
1984-10,Cherubini,Requiem,"Cejka, Petr",Hinna kirke,
1984-07,Cherubini,Requiem,"Cejka, Petr","Frankrike, Bayeux &  Caen",
1984-04,Mahler,Symfoni nr. 2,"Schmidt-Gertenbach, Volker",Stavanger Konserthus,
1983-12,Schütz,Historia der Gerburt Jesu Christ,"Schmidt-Gertenbach, Volker",Stavanger Domkirke,
1983-11,Mendelssohn,Lobgesang Symphonie,"Schmidt-Gertenbach, Volker",Stavanger Konserthus,https://drive.google.com/open?id=1NpSipS9HXxCFnZccoHfncUKcIrovTS3u
1983-05,Orff,Carmina Burana,"Schmidt-Gertenbach, Volker",Stavanger Konserthus,
1982-11,Beethoven,Symfoni nr. 9,"Schmidt-Gertenbach, Volker",Stavanger Konserthus,
1982-10,Haydn,Te deum Laudamus,"Cejka, Petr",Stavanger Domkirke,
1982-08,Verdi,Requiem,"Schmidt-Gertenbach, Volker",Tyskland /Göttinger,
1982-03,Dvorak,Stabat Mater,"Kout, Jiri",Stavanger Domkirke,
1981-11,Beethoven,Meerestille/ glückliche Fahrt,"Schmidt-Gertenbach, Volker",Atlantic Hall,
1981-11,Haydn,Der Sturm,"Schmidt-Gertenbach, Volker",Atlantic Hall,
1981-04,Verdi,Requiem,"Schmidt-Gertenbach, Volker",Stavanger Domkirke,
1981-02,Grieg,3 salmer,"Erikstad, Margrethe",Kristiansand,
1981-02,Cernohorsky,Laudetur - acappella,"Erikstad, Margrethe",Kristiansand,
1981-02,"Bach, J. S.",Jesu meine Freude,"Erikstad, Margrethe",Kristiansand,
1980-06,Beethoven,Fantasie i c-moll,"Cejka, Petr",Bjergsted,
1980-06,Grieg,4 salmer,"Cejka, Petr",Bjergsted,
1980-05,Grieg,"Olav Tryggvason, 4 salmer","Cejka, Petr",Newcastle,
1980-03,Beethoven ,Fantasie i c-moll,"Cejka, Petr",Atlantic Hall,
1979-12,Ryba,Julemesse i C dur,"Cejka, Petr",Gand kirke,
1979-11,Ravel,La Nuit,"Wold, Bjørn",Atlantic Hall,
1979-11,Haydn,Årstidene,"Wold, Bjørn",Atlantic Hall,
1979-09,Grieg,Olav Tryggvason,"Cejka, Petr",Atlantic Hall,
1978-12,Ryba,Julemesse i C dur,"Cejka, Petr",Gand kirke,
1978-05,Brahms,"Schicksalslied, Nänie","Cejka, Petr","Atlantic Hall, Egersundshallen",
1977-12,Ryba,Julemesse i C dur,"Cejka, Petr",St. Petri kirke,
1977-11,Verdi,"Aida: Triumfmarsj, Nabucco: Slavekoret","Wold, Bjørn",Atlantic Hall,
1977-05,Dvorak,"Te Deum, Bibelske sanger","Cejka, Petr",Newcastle,
1976-11,Dvorak,Te Deum,"Cejka, Petr",Stavanger Domkirke,
1976-05,Borodin,Fyrst Igor: Polovetsiske danser,"Wold, Bjørn",Atlantic Hall,
1977-02,Beethoven,Symfoni nr. 9,"Bernet, Dietfried",Atlantic Hall,
1976-01,Franck,Psyche,"Cejka, Petr",Atlantic Hall,
